variable,label
idstd,WEB STD FIRMID
id,Firm ID
a4a,Industry Sampling Sector
a6a,Sampling Size
a2,Sampling Region
a1c,Sample Frame Level
a0,Questionnaire
a3a,Region of The Establishment
a6c,Screener Size
a7,Establishment part of a multi-establishment Firm?
panel,Panel Code
a1a,Language of The Interview
a14d,Day
a14m,Month
a14y,Year
a14h,Hour
a14min,Minutes
a20y,Close Year of The Last Completed Fiscal Year
a20m,Close Month of The Last Completed Fiscal Year
a20d,Close Day of The Last Completed Fiscal Year
a1,Country Code
a12,Interviewer Number
a7a,Number of Establishments In The Firm
a7b,Is This Establishment The Headquarters Location?
a11,"If Hq, Financial Statements Independent of The Rest of Establishment"
a7c,Does This Headquarters Location Engage In Production or Sales At This Location?
a9,Establishment'S Financial Statements Prepared Separately From Hq Statements
b1,Legal Status of The Firm
b1x,Other (Specify)
b3a,Is the largest owner also the top manager
b2a,"% Owned By Private Domestic Individuals, Companies or organizations"
b2b,"% Owned By Private Foreign Individuals, Companies or organizations"
b2c,% Owned By Government/State
b2d,% Owned By Other
b4,"Amongst The Owners of The Firm, Are There Any Women?"
b4a,% of The Firm Owned By Women
b5,Year Establishment Began Operations
b6,Number of Full-Time Employees of The Establishment When It Started Operations
b6b,In What Year Was This Establishment Formally Registered?
b7,How Many Years of Experience Working In This Sector Does The Top Manager Have?
b7a,Is The Top Manager a Woman?
b8,Does Establishment Have An Internationally-Recognized Quality Certification?
b8x,Specify The Internationally-Recognized Quality Certifications
c3,Application To Obtain An Electrical Connection Submitted Over The Last 2 Years
c4,How Many Days Did It Take For You To Receive An Electrical Connection Service?
c5,Informal Gift/Payment Expected or Requested For An Electrical Connection?
c31,Cost to obtain electrical connection
c6,"Over Last FY, Did This Establishment Experience Power Outages?"
c7,Number of Power Outages Experienced In A Typical Month In Last Fiscal Year
c8a,Average Duration of Power Outages: Hours
c8b,Average Duration of Power Outages: Minutes
c9a,"In Last FY, Losses As % of Annual Sales Due To Power Outages"
